"notation","title","description","id"
E 3.5,"erkennen, dass sich naturwissenschaftliche Aussagen auf Basis neuer Informationen ändern können.",,
K ,"Kommunikationskompetenz","Im Bereich der Kommunikationskompetenz werden Fähigkeiten und Fertigkeiten beschrieben, die für einen sinnstiftenden Umgang mit fachbezogenen Informationen erforderlich sind. Die dazu erforderlichen Prozesse sind geprägt von der Notwendigkeit, chemische Fach- und Formelsprache verstehen und korrekt anwenden zu können sowie zwischen Alltagssprache und Fachsprache zu übersetzen. Dabei überprüfen die Lernenden Informationen daraufhin, ob die darin getroffenen Aussagen chemisch korrekt sind. Sie können ihre Positionen fachbasiert darstellen und nutzen dazu ein breites Spektrum an Mitteln (z. B. verbal, symbolisch, mathematisch). Sie reflektieren, finden Argumente oder revidieren gegebenenfalls ihre Aussagen aufgrund der vorgetragenen Einwände. Der Nutzung digitaler Medien und Werkzeuge kommt in diesem Kompetenzbereich eine hohe Bedeutung zu, indem diese sinnstiftend in Lernprozesse eingebunden werden bzw. ihr Einsatz kritisch reflektiert wird.",
K 1,"Informationen erschließen","Die Lernenden…",
K 1.1,"recherchieren zu chemischen Sachverhalten in unterschiedlichen, auch digitalen, Quellen;",,
K 1.2,"prüfen Darstellungen in Medien hinsichtlich ihrer fachlichen Richtigkeit;",,
K 1.3,"wählen mit Blick auf die Fragestellung relevante Informationen aus.",,
K 2,"Informationen aufbereiten","Die Lernenden…",
K 2.1,"stellen Zusammenhänge zwischen Alltagsphänomenen und chemischen Sachverhalten her;",,
K 2.2,"wählen aus, auf welche Weise fachliche Inhalte sach-, adressaten- und situationsgerecht weitergegeben werden;",,
K 2.3,"überführen Alltags-, Fach- und Formelsprache, Modelle und/oder andere Repräsentationen– auch unter Nutzung digitaler Werkzeuge – ineinander;",,
K 2.4,"nutzen die Formelsprache als ein Werkzeug der Verknüpfung zwischen makroskopischer und submikroskopischer Ebene.",,
K 3,"Informationen austauschen und diskutieren","Die Lernenden…",
K 3.1,"dokumentieren und präsentieren den Verlauf und die Ergebnisse ihrer fachlichen Arbeit, Überlegung oder Recherche adressatenbezogen auch unter Nutzung digitaler Werkzeuge;",,
K 3.2,"beschreiben, veranschaulichen oder erklären chemische Sachverhalte strukturiert;",,
K 3.3,"argumentieren fachlich folgerichtig;",,
K 3.4,"vertreten ihre Standpunkte zu chemischen Sachverhalten fachlich begründet und reflektieren Einwände;",,
K 3.5,"beachten die Urheberschaft, belegen verwendete Quellen und kennzeichnen Zitate.",,
B ,"Bewertungskompetenz","Die Kenntnis und Reflexion der Beziehungen zwischen Naturwissenschaft, Technik, Individuum und Gesellschaft gehören zum Bereich der Bewertungskompetenz. Eine besondere Bedeutung kommt dabei dem Abwägen von Handlungsoptionen unter Berücksichtigung von Bewertungskriterien aus fachlicher Perspektive zu. Dabei ist es fundamental, entsprechende chemische Sachverhalte aus der Perspektive aller drei Basiskonzepte zu betrachten. Durch die Auswahl geeigneter Themen können die Lernenden Vernetzungen der Chemie in Lebenswelt, Alltag, Umwelt, Wissenschaft und Technik erkennen und hinsichtlich ihrer Bedeutung und Anwendung bewerten. Die gezielte Auswahl chemierelevanter Kontexte ermöglicht es den Lernenden, Fachkenntnisse auf neue vergleichbare Fragestellungen zu übertragen, Probleme in realen Situationen zu erfassen, Interessenkonflikte auszumachen, mögliche Lösungen zu erwägen, deren Konsequenzen zu diskutieren und Handlungsoptionen abzuleiten.",
B 1,"Sachverhalte und Informationen kriteriengeleitet bewerten.","Die Lernenden…",
B 1.1,"unterscheiden zur Bewertung von Sachverhalten und Informationen unterschiedliche Kriterien (z. B. naturwissenschaftlich, ökonomisch, normativ, sozial);",,
B 1.2,"nutzen zur Bewertung von Sachverhalten und Informationen naturwissenschaftliche Kriterien und setzen diese zu anderen Kriterien in Beziehung;",,
B 1.3,"diskutieren und bewerten Aspekte gesellschaftsrelevanter Fragen und Aussagen aus unterschiedlichen Perspektiven.",,
B 2,"Meinungen bilden und Entscheidungen treffen","Die Lernenden…",
B 2.1,"nutzen zur Entwicklung von Handlungsoptionen naturwissenschaftliche Kriterien, setzen diese zu anderen Kriterien in Beziehung und wägen diese ab;",,
B 2.2,"treffen begründete Entscheidungen unter Berücksichtigung fachlicher Kriterien;",,
B 2.3,"leiten auf der Grundlage von Informationen zu Gefahren und zur Sicherheit beim Umgang mit Chemikalien und Geräten angemessene Maßnahmen ab;",,
B 2.4,"bewerten die Bedeutung chemischer Kenntnisse für Anwendungsbereiche und Berufsfelder.",,
B 3,"Entscheidungen und deren Folgen reflektieren","Die Lernenden…",
B 3.1,"nutzen zur Reflexion von Entscheidungen naturwissenschaftliche Kriterien und setzen diese zu anderen Kriterien in Beziehung;",,
B 3.2,"analysieren Entscheidungen in Hinblick auf Handlungsresultate.",,







