"notation","title","description","id","title_en","description_en"
"1.3.3","beschreiben den energetischen Verlauf chemischer Reaktionen.","","t7v",,
"2","Erkenntnisgewinnungskompetenz","Fachbezogene Denkweisen und Untersuchungsmethoden mit ihren konzeptionellen Rahmen werden der Erkenntnisgewinnungskompetenz zugeordnet. Die Chemie steht in einem fachwissenschaftlichen, gesellschaftlichen und historischen Zusammenhang, der sich in der Auswahl der Sachverhalte für die fachbezogene Erkenntnisgewinnung widerspiegeln soll. Um Erkenntnisprozesse nachvollziehen und gestalten zu können, müssen die Lernenden in der Lage sein, die für den zu bearbeitenden Sachverhalt bedeutsamen und durch das Fach Chemie beantwortbaren Fragestellungen zu erkennen sowie geeignete Denkweisen und Untersuchungsmethoden anzuwenden, diesen Fragestellungen chemisch nachzugehen. Der konzeptionelle Rahmen einer Untersuchungsmethode umfasst die Auswahl und Einengung des Untersuchungsgegenstandes, die Planung und Bewertung verschiedener möglicher Methoden der Erkenntnisgewinnung sowie die kritische Reflexion ihrer Durchführung durch die Lernenden. Dies beinhaltet die Organisation der Arbeitsschritte sowie das Beherrschen fachtypischer Denkweisen, Recherche-, Arbeits- und Auswertungstechniken. Zentrale Bedeutung haben dabei das chemische Experiment sowie die Nutzung von Modellen. Zu berücksichtigen sind in angemessenem Maße auch sprachliche und quantifizierend-mathematische Formalisierungen der Chemie. Die Ergebnisse ihrer Arbeit werden durch die Lernenden vor dem Hintergrund der Ausgangsfrage, der experimentellen Rahmenbedingungen und der zugrunde gelegten Modellvorstellung geprüft. Die Verknüpfung gewonnener Erkenntnisse mit bereits geläufigen Konzepten, Modellen und Theorien führt zur Fähigkeit, chemische Phänomene auch im Alltag zu erkennen und zu erklären und zu den Basiskonzepten in Beziehung zu setzen. Dadurch wird ein Beitrag für die Entwicklung eines naturwissenschaftlichen Weltverständnisses geleistet. In diesem Zusammenhang entwickeln die Lernenden ein Verständnis zur Rolle und Bedeutung der Wissenschaft Chemie im Verbund der Naturwissenschaften, erkennen Ähnlichkeiten in den Denk- und Arbeitsweisen, aber auch chemiespezifische Besonderheiten.","g3r",,
"2.1","Erkenntnisse mithilfe von Experimenten gewinnen","Die Lernenden…","e2c",,
"2.1.1","erkennen und entwickeln Fragestellungen und Hypothesen, die mithilfe chemischer Kenntnisse und Untersuchungen, insbesondere durch chemische Experimente, zu beantworten bzw. zu prüfen sind;","","p2b",,
"2.1.2","planen Untersuchungen und Experimente zur Überprüfung von Vermutungen und Hypothesen und führen diese fachgerecht durch;","","b5x",,
"2.1.3","vollziehen eigene und fremde Untersuchungen, qualitative und quantitative Experimente mit Blick auf die zu klärende Fragestellung nach;","","e3b",,
"2.1.4","erheben relevante Daten im Rahmen von Untersuchungen insbesondere in chemischen Experimenten – auch unter Nutzung digitaler Werkzeuge;","","f3h",,
"2.1.5","beschreiben in erhobenen oder recherchierten Daten Trends, Strukturen und Zusammenhänge, erklären diese und ziehen geeignete Schlussfolgerungen – auch unter Nutzung digitaler Werkzeuge.","","u2e",,
"2.2","Modelle im Rahmen der Erkenntnisgewinnung nutzen","Die Lernenden…","u5p",,
"2.2.1","unterscheiden zwischen Sach- und Denkmodellen;","","u4d",,
"2.2.2","erkennen Modelle und Modellexperimente als notwendige Hilfsmittel zur Erklärung und Vorhersage von Vorgängen auf der submikroskopischen Ebene;","","x7v",,
"2.2.3","beschreiben mithilfe von Struktur- und Bindungsmodellen den submikroskopischen Aufbau der Materie;","","b5h",,
"2.2.4","wenden mathematische Modelle zur Beschreibung chemischer Sachverhalte an;","","c2b",,
"2.2.5","wählen Modelle zur Erklärung chemischer Sachverhalte aus;","","z2r",,
"2.2.6","diskutieren Aussagen und Passung von Modellen.","","g5y",,
"2.3","Erkenntnisprozesse reflektieren","Die Lernenden…","g7a",,
"2.3.1","kennen und unterscheiden deduktive und induktive Wege naturwissenschaftlicher Erkenntnisgewinnung;","","u9e",,
"2.3.2","erkennen das Denken in Modellen und das Experimentieren als zentrale Methoden der Erkenntnisgewinnung in der Chemie;","","f3y",,
"2.3.3","benennen Gemeinsamkeiten und Unterschiede zwischen Chemie, Physik und Biologie;","","f7b",,
"2.3.4","beschreiben exemplarisch den wechselseitigen Einfluss von gesellschaftlich-sozialen Rahmenbedingungen und wissenschaftlichem Arbeiten;","","f5q",,
"2.3.5","erkennen, dass sich naturwissenschaftliche Aussagen auf Basis neuer Informationen ändern können.","","r3y",,
"3","Kommunikationskompetenz","Im Bereich der Kommunikationskompetenz werden Fähigkeiten und Fertigkeiten beschrieben, die für einen sinnstiftenden Umgang mit fachbezogenen Informationen erforderlich sind. Die dazu erforderlichen Prozesse sind geprägt von der Notwendigkeit, chemische Fach- und Formelsprache verstehen und korrekt anwenden zu können sowie zwischen Alltagssprache und Fachsprache zu übersetzen. Dabei überprüfen die Lernenden Informationen daraufhin, ob die darin getroffenen Aussagen chemisch korrekt sind. Sie können ihre Positionen fachbasiert darstellen und nutzen dazu ein breites Spektrum an Mitteln (z. B. verbal, symbolisch, mathematisch). Sie reflektieren, finden Argumente oder revidieren gegebenenfalls ihre Aussagen aufgrund der vorgetragenen Einwände. Der Nutzung digitaler Medien und Werkzeuge kommt in diesem Kompetenzbereich eine hohe Bedeutung zu, indem diese sinnstiftend in Lernprozesse eingebunden werden bzw. ihr Einsatz kritisch reflektiert wird.","z3q",,
"3.1","Informationen erschließen","Die Lernenden…","v5s",,
"3.1.1","recherchieren zu chemischen Sachverhalten in unterschiedlichen, auch digitalen, Quellen;","","e6a",,
"3.1.2","prüfen Darstellungen in Medien hinsichtlich ihrer fachlichen Richtigkeit;","","y9h",,
"3.1.3","wählen mit Blick auf die Fragestellung relevante Informationen aus.","","t3p",,
"3.2","Informationen aufbereiten","Die Lernenden…","v7u",,
"3.2.1","stellen Zusammenhänge zwischen Alltagsphänomenen und chemischen Sachverhalten her;","","c7b",,
"3.2.2","wählen aus, auf welche Weise fachliche Inhalte sach-, adressaten- und situationsgerecht weitergegeben werden;","","r5x",,
"3.2.3","überführen Alltags-, Fach- und Formelsprache, Modelle und/oder andere Repräsentationen– auch unter Nutzung digitaler Werkzeuge – ineinander;","","h9c",,
"3.2.4","nutzen die Formelsprache als ein Werkzeug der Verknüpfung zwischen makroskopischer und submikroskopischer Ebene.","","y4t",,
"3.3","Informationen austauschen und diskutieren","Die Lernenden…","s3b",,
"3.3.1","dokumentieren und präsentieren den Verlauf und die Ergebnisse ihrer fachlichen Arbeit, Überlegung oder Recherche adressatenbezogen auch unter Nutzung digitaler Werkzeuge;","","x9c",,
"3.3.2","beschreiben, veranschaulichen oder erklären chemische Sachverhalte strukturiert;","","s4e",,
"3.3.3","argumentieren fachlich folgerichtig;","","a2u",,
"3.3.4","vertreten ihre Standpunkte zu chemischen Sachverhalten fachlich begründet und reflektieren Einwände;","","y7f",,
"3.3.5","beachten die Urheberschaft, belegen verwendete Quellen und kennzeichnen Zitate.","","h6h",,
"4","Bewertungskompetenz","Die Kenntnis und Reflexion der Beziehungen zwischen Naturwissenschaft, Technik, Individuum und Gesellschaft gehören zum Bereich der Bewertungskompetenz. Eine besondere Bedeutung kommt dabei dem Abwägen von Handlungsoptionen unter Berücksichtigung von Bewertungskriterien aus fachlicher Perspektive zu. Dabei ist es fundamental, entsprechende chemische Sachverhalte aus der Perspektive aller drei Basiskonzepte zu betrachten. Durch die Auswahl geeigneter Themen können die Lernenden Vernetzungen der Chemie in Lebenswelt, Alltag, Umwelt, Wissenschaft und Technik erkennen und hinsichtlich ihrer Bedeutung und Anwendung bewerten. Die gezielte Auswahl chemierelevanter Kontexte ermöglicht es den Lernenden, Fachkenntnisse auf neue vergleichbare Fragestellungen zu übertragen, Probleme in realen Situationen zu erfassen, Interessenkonflikte auszumachen, mögliche Lösungen zu erwägen, deren Konsequenzen zu diskutieren und Handlungsoptionen abzuleiten.","a2d",,
"4.1","Sachverhalte und Informationen kriteriengeleitet bewerten.","Die Lernenden…","z7h",,
"4.1.1","unterscheiden zur Bewertung von Sachverhalten und Informationen unterschiedliche Kriterien (z. B. naturwissenschaftlich, ökonomisch, normativ, sozial);","","u7y",,
"4.1.2","nutzen zur Bewertung von Sachverhalten und Informationen naturwissenschaftliche Kriterien und setzen diese zu anderen Kriterien in Beziehung;","","d3c",,
"4.1.3","diskutieren und bewerten Aspekte gesellschaftsrelevanter Fragen und Aussagen aus unterschiedlichen Perspektiven.","","t6d",,
"4.2","Meinungen bilden und Entscheidungen treffen","Die Lernenden…","z2q",,
"4.2.1","nutzen zur Entwicklung von Handlungsoptionen naturwissenschaftliche Kriterien, setzen diese zu anderen Kriterien in Beziehung und wägen diese ab;","","s3g",,
"4.2.2","treffen begründete Entscheidungen unter Berücksichtigung fachlicher Kriterien;","","c3t",,
"4.2.3","leiten auf der Grundlage von Informationen zu Gefahren und zur Sicherheit beim Umgang mit Chemikalien und Geräten angemessene Maßnahmen ab;","","f2s",,
"4.2.4","bewerten die Bedeutung chemischer Kenntnisse für Anwendungsbereiche und Berufsfelder.","","x3x",,
"4.3","Entscheidungen und deren Folgen reflektieren","Die Lernenden…","d5e",,
"4.3.1","nutzen zur Reflexion von Entscheidungen naturwissenschaftliche Kriterien und setzen diese zu anderen Kriterien in Beziehung;","","b4a",,
"4.3.2","analysieren Entscheidungen in Hinblick auf Handlungsresultate.","","v3d",,
